0字节	0位元組
几凳	几凳
几子	几子
几旁	几旁
几杖	几杖
几案	几案
几椅	几椅
几榻	几榻
几净窗明	几淨窗明
几淨窗明	几淨窗明
几筵	几筵
几面上	几面上
凶征	凶徵
凶相毕露	凶相畢露
出乖弄丑	出乖弄醜
出乖露丑	出乖露醜
出征收	出征收
出游	出遊
出丑	出醜
函数里	函數裡
分别致	分别致
分半钟	分半鐘
分多钟	分多鐘
分子钟	分子鐘
分子云	分子雲
分钟	分鐘
分钟里	分鐘裡
刑余	刑餘
划一桨	划一槳
划一槳	划一槳
划不來	划不來
划不来	划不來
划了一会	划了一會
划了一會	划了一會
划來划去	划來划去
划来划去	划來划去
划具	划具
划到岸	划到岸
划到江心	划到江心
划动	划動
划動	划動
划去	划去
划子	划子
划得來	划得來
划得来	划得來
划拳	划拳
划桨	划槳
划槳	划槳
划水	划水
划着獨木舟	划着獨木舟
划算	划算
划船	划船
划艇	划艇
划著	划著
划行	划行
划走	划走
划起	划起
划进	划進
划進	划進
划过	划過
划過	划過
划龍舟	划龍舟
划龙舟	划龍舟
划龍船	划龍船
划龙船	划龍船
判断发	判斷發
别辟	別闢
利欲	利慾
刮起来	刮起來
刮胡	刮鬍
到山里	到山裡
制冷机	制冷機
制钟	制鐘
刻半钟	刻半鐘
刻多钟	刻多鐘
刻钟	刻鐘
剃发	剃髮
剃胡	剃鬍
剃须	剃鬚
削发	削髮
削面	削麵
克剥	剋剝
克扣	剋扣
克星	剋星
克期	剋期
克死	剋死
克薄	剋薄
前往	前往
前面店	前面店
剖厘	剖釐
刚干	剛乾
刚雇	剛僱
剥制	剝製
剩余	剩餘
剪其发	剪其髮
剪发	剪髮
割舍	割捨
创获	創穫
创制	創製
铲出	剷出
铲刈	剷刈
铲平	剷平
铲除	剷除
铲头	剷頭
划入	劃入
划为	劃為
刘芸后	劉芸后
劉芸后	劉芸后
力争上游	力爭上遊
功勋	功勳
加氢精制	加氫精制
劫余	劫餘
勃郁	勃鬱
勤仆	勤僕
勤朴	勤樸
勋劳	勳勞
勋业	勳業
勋爵	勳爵
勋章	勳章
勋绩	勳績
勾干	勾幹
勾心斗角	勾心鬥角
勾魂荡魄	勾魂蕩魄
包干	包幹
包准	包準
包谷	包穀
包扎	包紮
包制	包製
匏系	匏繫
北山索面	北山索麵
北仑河	北崙河
北岳	北嶽
北回线	北迴線
北回铁路	北迴鐵路
匪干	匪幹
区里有	區裡有
区里的	區裡的
十个	十個
十出家	十出家
十出击	十出擊
十出生	十出生
十出祁山	十出祁山
十出头	十出頭
十出頭	十出頭
十周后	十周後
十天后	十天後
十扎	十紮
十只	十隻
十余	十餘
十出	十齣
千个	千個
千只可	千只可
千只够	千只夠
千只夠	千只夠
千只怕	千只怕
千只能	千只能
千只足够	千只足夠
千只足夠	千只足夠
千周后	千周後
千天后	千天後
千扎	千紮
千回百折	千迴百折
千回百转	千迴百轉
千钧一发	千鈞一髮
千只	千隻
千余	千餘
升高后	升高後
半干	半乾
半制品	半制品
半只可	半只可
半只够	半只夠
半只	半隻
协防	協防
南京钟	南京鐘
南京钟表	南京鐘錶
南宫适	南宮适
南宮适	南宮适
南屏晚钟	南屏晚鐘
南岳	南嶽
南筑	南筑
南回线	南迴線
南回铁路	南迴鐵路
南游	南遊
博采	博採
博杰普尔	博杰普爾
博杰普爾	博杰普爾
博尔术	博爾朮
占了卜	占了卜
印累绶若	印纍綬若
印制	印製
印鉴	印鑑
卵与石斗	卵與石鬥
卷发动	卷發動
卷发售	卷發售
卷发展	卷發展
卷发布	卷發布
卷发现	卷發現
卷发生	卷發生
卷发表	卷發表
卷发起	卷發起
卷须	卷鬚
厂部	厂部
原子钟	原子鐘
原文里	原文裡
原钟	原鐘
历物之意	厤物之意
去山里	去山裡
参数只	參數只
参数里	參數裡
反反复复	反反覆覆
反应制得	反應製得
反朴归真	反樸歸真
反冲	反衝
反复制	反複製
反复	反覆
反覆	反覆
取舍	取捨
受雇	受僱
受托	受託
丛林里	叢林裡
口干	口乾
口干冒	口干冒
口干政	口干政
口干涉	口干涉
口干犯	口干犯
口干预	口干預
口燥唇干	口燥唇乾
口腹之欲	口腹之慾
口里	口裡
口钟	口鐘
古人有云	古人有云
古文里	古文裡
古书云	古書云
古書云	古書云
古柯咸	古柯鹹
古朴	古樸
古語云	古語云
古语云	古語云
古迹	古蹟
古钟	古鐘
古钟表	古鐘錶
另辟	另闢
叩钟	叩鐘
只占卜	只占卜
只占吉	只占吉
只占神问卜	只占神問卜
只占算	只占算
只影响	只影響
只影響	只影響
只采	只採
只冲	只衝
只身上已	只身上已
只身上有	只身上有
只身上沒	只身上沒
只身上没	只身上沒
只身上无	只身上無
只身上無	只身上無
只身上的	只身上的
只身世	只身世
只身份	只身份
只身前	只身前
只身受	只身受
只身子	只身子
只身形	只身形
只身影	只身影
只身后	只身後
只身後	只身後
只身心	只身心
只身旁	只身旁
只身材	只身材
只身段	只身段
只身为	只身為
只身為	只身為
只身边	只身邊
只身邊	只身邊
只身首	只身首
只身体	只身體
只身體	只身體
只身高	只身高
只采声	只采聲
叮叮当当	叮叮噹噹
叮当	叮噹
可紧可松	可緊可鬆
可能干預	可能干預
可能干预	可能干預
可自制	可自制
可鉴	可鑑
台子女	台子女
台子孙	台子孫
台州	台州
台历史	台歷史
台钟	台鐘
台风奖	台風獎
台风稳健	台風穩健
史鉴	史鑑
叶不二子	叶不二子
叶志穗	叶志穗
叶恭弘	叶恭弘
叶音	叶音
叶韵	叶韻
叶韻	叶韻
吃板刀面	吃板刀麵
吃碗面	吃碗麵
吃姜	吃薑
吃里扒外	吃裡扒外
吃里爬外	吃裡爬外
吃面	吃麵
各辟	各闢
各类钟	各類鐘
合伙人	合伙人
合并	合併
合伙	合夥
合府上	合府上
合采	合採
合历	合曆
合历史	合歷史
合准	合準
吉凶庆吊	吉凶慶弔
吉征	吉徵
吊钟	吊鐘
同人志	同人誌
同伙	同夥
同余	同餘
名单于	名單於
后冠	后冠
后北街	后北街
后土	后土
后妃	后妃
后姓	后姓
后安路	后安路
后平路	后平路
后庄	后庄
后母戊	后母戊
后海湾	后海灣
后海灣	后海灣
后瑞站	后瑞站
后稷	后稷
后綜	后綜
后羿	后羿
后翼弃兵	后翼棄兵
后翼棄兵	后翼棄兵
后苍	后蒼
后蒼	后蒼
后街	后街
后角	后角
后丰	后豐
后豐	后豐
后里	后里
后发FK型星	后髮FK型星
后髮FK型星	后髮FK型星
后发座	后髮座
后髮座	后髮座
后发星系团	后髮星系團
后髮星系團	后髮星系團
吐哺捉发	吐哺捉髮
吐哺握发	吐哺握髮
向往来	向往來
向往常	向往常
向往日	向往日
向往时	向往時
吞并	吞併
吟游	吟遊
吧台	吧檯
含齿戴发	含齒戴髮
吸干	吸乾
吹干	吹乾
吾为之范我驰驱	吾爲之範我馳驅
吕后	呂后
呂后	呂后
呆致致	呆緻緻
呆里呆气	呆裡呆氣
告札	告劄
告里	告裡
呦喂	呦喂
周后	周后
周惠后	周惠后
周历	周曆
周杰	周杰
周历史	周歷史
周游列国	周遊列國
呵喂	呵喂
呼吁	呼籲
命中注定	命中注定
和奸	和姦
和平之后	和平之后
和制汉	和製漢
和制英语	和製英語
咎征	咎徵
咕咕钟	咕咕鐘
咪表	咪錶
咬姜呷醋	咬薑呷醋
咯当	咯噹
哀吊	哀弔
哀挽	哀輓
品鉴	品鑑
哄堂大笑	哄堂大笑
哈啰喂	哈囉喂
哈囉喂	哈囉喂
員山庄	員山庄
哪里	哪裡
唁吊	唁弔
呗赞	唄讚
唇干	唇乾
唯一只	唯一只
唱游	唱遊
唾面自干	唾面自乾
唾余	唾餘
商历	商曆
商标准许	商標准許
商历史	商歷史
啊喂	啊喂
启发式	啟發式
啷当	啷噹
喂。	喂。
喂了一声	喂了一聲
喂了一聲	喂了一聲
喂喂	喂喂
喂喂喂	喂喂喂
喂哟	喂喲
喂喲	喂喲
喂！	喂！
喂，	喂，
喂？	喂？
喝干	喝乾
喧哗两成败	喧嘩兩成敗
喧哗	喧譁
喧哄	喧鬨
丧钟	喪鐘
乔岳	喬嶽
单于	單于
單于	單于
单向	單向
單向	單向
单单于	單單於
单干	單幹
单打独斗	單打獨鬥
哟喂	喲喂
喲喂	喲喂
嘉谷	嘉穀
嘴里	嘴裡
恶心	噁心
噙齿戴发	噙齒戴髮
当啷	噹啷
当当	噹噹
尝粪	嚐糞
噜苏	嚕囌
啮合	嚙合
啮齿类	嚙齒類
向导	嚮導
向往	嚮往
向慕	嚮慕
向迩	嚮邇
严云农	嚴云農
嚴云農	嚴云農
嚼谷	嚼穀
啰啰苏苏	囉囉囌囌
啰苏	囉囌
嘱托	囑託
啮虫	囓蟲
四个	四個
四出征收	四出徵收
四分历	四分曆
四分历史	四分歷史
四周后	四周後
四天后	四天後
四舍五入	四捨五入
四舍六入	四捨六入
四杆铁笔	四桿鐵筆
四扎	四紮
四只	四隻
四面包	四面包
四面钟	四面鐘
四余	四餘
回佣	回佣
回采	回採
回旋加速	回旋加速
回历	回曆
回历史	回歷史
回复中	回覆中
回复你	回覆你
回复帖子	回覆帖子
回复意见	回覆意見
回复说	回覆說
回覆通告	回覆通告
回复邮件	回覆郵件
回复：	回覆：
回游	回遊
困倦起来	困倦起來
困兽之斗	困獸之鬥
困兽犹斗	困獸猶鬥
困斗	困鬥
固定制	固定制
固征	固徵
圈里	圈裡
国之桢干	國之楨榦
国干网	國幹網
国历	國曆
国历代	國歷代
国历任	國歷任
国历来	國歷來
国历史	國歷史
国历届	國歷屆
国历经	國歷經
国仇	國讎
园里	園裡
园游会	園遊會
图里的	圖裡的
图里，	圖裡，
图鉴	圖鑑
土索面	土索麵
土里	土裡
土制	土製
在制品	在制品
在山里	在山裡
地图里	地圖裡
地心历表	地心曆表
地志	地誌
地丑德齐	地醜德齊
坐台鐵	坐台鐵
坐台铁	坐台鐵
坐如钟	坐如鐘
坐台	坐檯
坐钟	坐鐘
坑口里	坑口里
坑里	坑裡
坤范	坤範
坦荡	坦蕩
坦荡荡	坦蕩蕩
坱郁	坱鬱
垂范	垂範
垂发	垂髮
型范	型範
埃及历	埃及曆
埃及历史	埃及歷史
埃及艳后	埃及豔后
埃荣冲	埃榮衝
城市里	城市裡
城里	城裡
埔子里	埔子里
域里	域裡
基干	基幹
基准	基準
坚致	堅緻
堙淀	堙澱
堡子里	堡子里
场里	場裡
塘栖	塘栖
塞耳盗钟	塞耳盜鐘
境里	境裡
境里程	境里程
墓志铭	墓志銘
墓志	墓誌
增辟	增闢
墨子里	墨子里
墨斗	墨斗
墨沈沈	墨沈沈
墨沈	墨瀋
垦辟	墾闢
压制出	壓製出
压制机	壓製機
壮游	壯遊
壮面	壯麵
壹郁	壹鬱
壶里	壺裡
壸范	壼範
壽天里	壽天里
寿面	壽麵
夏于乔	夏于喬
夏于喬	夏于喬
夏后氏	夏后氏
夏历	夏曆
夏历史	夏歷史
夏游	夏遊
外强中干	外強中乾
外制	外製
外面包	外面包
多半只	多半只
多只包括	多只包括
多只可	多只可
多只含	多只含
多只在	多只在
多只是	多只是
多只会	多只會
多只會	多只會
多只有	多只有
多只比	多只比
多只用	多只用
多只能	多只能
多只限	多只限
多只需	多只需
多只須	多只須
多只须	多只須
多周后	多周後
多天后	多天後
多冲	多衝
多丑	多醜
多只	多隻
多余	多餘
多出电影	多齣電影
夜晚里	夜晚裡
夜里	夜裡
夜游	夜遊
梦里	夢裡
梦游	夢遊
伙伴	夥伴
伙友	夥友
伙同	夥同
伙众	夥眾
伙计	夥計
大伙儿	大伙兒
大只可	大只可
大只在	大只在
大只是	大只是
大只会	大只會
大只有	大只有
大只能	大只能
大只需	大只需
大周后	大周后
大型钟	大型鐘
大型钟表面	大型鐘表面
大型钟表	大型鐘錶
大型钟面	大型鐘面
大多只	大多只
大伙	大夥
大干一	大幹一
大批涌到	大批湧到
大折儿	大摺兒
大明历	大明曆
大明历史	大明歷史
大历	大曆
大本钟	大本鐘
大历史	大歷史
大历险	大歷險
大病初愈	大病初癒
大目干连	大目乾連
大笨钟	大笨鐘
大蜡	大蜡
大衍历	大衍曆
大衍历史	大衍歷史
大言非夸	大言非夸
大夸	大誇
大赞	大讚
大周折	大週摺
大丑	大醜
大金发苔	大金髮苔
大钟	大鐘
大只	大隻
大风后	大風後
天主之仆	天主之僕
天保历	天保曆
天克地冲	天克地衝
天台	天台
天后	天后
天后宫	天后宮
天地志狼	天地志狼
天地为范	天地為範
天后来	天後來
天后半	天後半
天后天	天後天
天文学钟	天文學鐘
天文历表	天文曆表
天文钟	天文鐘
天历	天曆
天历史	天歷史
天神之后	天神之后
天里	天裡
天里昂	天里昂
天里村	天里村
太仆	太僕
太凶	太兇
太初历	太初曆
太初历史	太初歷史
太后	太后
太丑	太醜
太阁	太閤
夸克	夸克
夸父	夸父
夸特	夸特
夸脱	夸脫
奇勋	奇勳
奇迹	奇蹟
奇丑	奇醜
奏折	奏摺
夺斗	奪鬥
奋斗	奮鬥
女丑	女丑
女仆	女僕
奴仆	奴僕
奸淫掳掠	奸淫擄掠
好家伙	好傢夥
好凶	好兇
好勇斗狠	好勇鬥狠
好斗大	好斗大
好斗室	好斗室
好斗笠	好斗笠
好斗篷	好斗篷
好斗胆	好斗膽
好斗膽	好斗膽
好斗蓬	好斗蓬
好困	好睏
好丑	好醜
好斗	好鬥
如果干	如果幹
如饥似渴	如饑似渴
妖后	妖后
妖气冲天	妖氣衝天
妆台	妝檯
姆万扎	姆萬扎
姓么	姓么
委托	委託
委托书	委託書
奸夫	姦夫
奸妇	姦婦
奸情	姦情
奸杀	姦殺
奸污	姦污
奸淫	姦淫
威棱	威稜
婢仆	婢僕
嫌凶	嫌兇
嫌好道丑	嫌好道醜
嫩姜	嫩薑
嬉游	嬉遊
嬖幸	嬖倖
嬴余	嬴餘
子之丰兮	子之丰兮
子云	子云
子里	子裡
子里甲	子里甲
字汇	字彙
字母后	字母後
字码表	字碼表
字里	字裡
存折	存摺
孛里海	孛里海
孝惠后	孝惠后
孙杰	孫杰
孫杰	孫杰
学家	學家
学里	學裡
宇宙志	宇宙誌
安沈铁路	安瀋鐵路
宋王台	宋王臺
宗周钟	宗周鐘
官不怕大只怕管	官不怕大只怕管
官地为采	官地為寀
官历	官曆
官历史	官歷史
定准	定準
定制	定製
宜云	宜云
宣泄	宣洩
宦游	宦遊
宫里	宮裡
宫斗	宮鬥
宴游	宴遊
家仆	家僕
家里	家裡
家丑	家醜
容范	容範
宿舍	宿舍
寄托在	寄托在
寄托	寄託
密致	密緻
寇准	寇準
寇仇	寇讎
富余	富餘
寒栗	寒慄
寓禁于征	寓禁於徵
寡欲	寡慾
实干	實幹
实累累	實纍纍
实验里	實驗裡
审干	審幹
写字台	寫字檯
宽余	寬餘
宽松	寬鬆
宽松松	寬鬆鬆
寮采	寮寀
寶山庄	寶山庄
宝历	寶曆
寶曆	寶曆
宝历史	寶歷史
宝里宝气	寶裡寶氣
宝鉴	寶鑑
寸发千金	寸髮千金
寺钟	寺鐘
封后	封后
封为后	封為后
封為后	封為后
封面里	封面裡
射雕	射鵰
专辑里	專輯裡
尊后	尊后
对不准	對不準
对折	對摺
对准	對準
对准表	對準錶
对准钟	對準鐘
对准钟表	對準鐘錶
對着幹	對着幹
对华发	對華發
对表中	對表中
对表扬	對表揚
对表明	對表明
对表演	對表演
对表现	對表現
对表达	對表達
导游	導遊
小丑	小丑
小井里	小井里
小价	小价
小仆	小僕
小几	小几
小只可	小只可
小只在	小只在
小只是	小只是
小只会	小只會
小只有	小只有
小只能	小只能
小只需	小只需
小周后	小周后
小型钟	小型鐘
小型钟表面	小型鐘表面
小型钟表	小型鐘錶
小型钟面	小型鐘面
小时里	小時裡
小米面	小米麵
小只	小隻
小鸟游	小鳥遊
少采	少採
就范	就範
就里	就裡
尸位素餐	尸位素餐
尸佼	尸佼
尸利	尸利
尸子	尸子
尸居余气	尸居餘氣
尸弃佛	尸棄佛
尸棄佛	尸棄佛
尸祝	尸祝
尸祿	尸祿
尸禄	尸祿
尸罗	尸羅
尸羅	尸羅
尸罗精舍	尸羅精舍
尸羅精舍	尸羅精舍
尸臣	尸臣
尸谏	尸諫
尸逐	尸逐
尸魂界	尸魂界
尸鳩	尸鳩
尸鸠	尸鳩
局促不安	局促不安
局里	局裡
屋里	屋裡
屏风后	屏風後
屡顾尔仆	屢顧爾僕
属托	屬託
屯扎	屯紮
屯里	屯裡
山仔后	山仔后
山崩钟应	山崩鐘應
山岳	山嶽
山棱	山稜
山羊胡	山羊鬍
山里有	山裡有
山里的	山裡的
山谷	山谷
山重水复	山重水複
岑子杰	岑子杰
岩松了	岩松了
岫岩	岫巖
岱岳	岱嶽
峇里海	峇里海
峰回	峰迴
峻岭	峻岭
昆剧	崑劇
昆山	崑山
昆冈	崑岡
昆仑	崑崙
昆嵛	崑嵛
昆承湖	崑承湖
昆曲	崑曲
昆玉市	崑玉市
昆腔	崑腔
昆苏	崑蘇
昆调	崑調
崖广	崖广
崖姜	崖薑
嶒棱	嶒稜
岳岳	嶽嶽
岳麓	嶽麓
巡回医疗	巡回醫療
巡回	巡迴
巡游	巡遊
工作台	工作檯
左冲右突	左衝右突
巧干	巧幹
巧历	巧曆
巧历史	巧歷史
巨制	巨製
差之毫厘	差之毫厘
己丑	己丑
已占卜	已占卜
已占算	已占算
巴尔干	巴爾幹
巴而术	巴而朮
巷里	巷裡
市里的	市裡的
布谷	布穀
布谷鸟	布穀鳥
布谷鸟钟	布穀鳥鐘
布里海	布里海
希伯来历	希伯來曆
希伯来历史	希伯來歷史
帘子	帘子
帘布	帘布
帛尸梨	帛尸梨
帝后	帝后
师范	師範
席卷	席捲
带征	帶徵
带余	帶餘
带发修行	帶髮修行
幅图里	幅圖裡
干系	干係
平平当当	平平當當
平准	平準
年代里	年代裡
年历	年曆
年历史	年歷史
年历次	年歷次
年谷	年穀
年里	年裡
年里約	年里約
年里约	年里約
年鉴	年鑑
并州	并州
并日而食	并日而食
并迭	并迭
幸运胡	幸運鬍
干上	幹上
干下去	幹下去
干不了	幹不了
干不成	幹不成
干了	幹了
干事	幹事
干些	幹些
干什么	幹什麼
干仗	幹仗
干个	幹個
干劲	幹勁
干吏	幹吏
干员	幹員
干啥	幹啥
干吗	幹嗎
干嘛	幹嘛
干坏事	幹壞事
干大事	幹大事
干完	幹完
干家	幹家
干得	幹得
干性油	幹性油
干才	幹才
干掉	幹掉
干探	幹探
干校	幹校
干活	幹活
干流	幹流
干济	幹濟
干营生	幹營生
干父之蛊	幹父之蠱
干球温度	幹球溫度
干甚么	幹甚麼
干略	幹略
干当	幹當
干的事	幹的事
干的好事	幹的好事
干细胞	幹細胞
干线	幹線
干练	幹練
干缺	幹缺
干群关系	幹群關係
干蛊	幹蠱
干警	幹警
干起来	幹起來
干路	幹路
干办	幹辦
干这	幹這
干过	幹過
干道	幹道
干部	幹部
干革命	幹革命
干头	幹頭
干么	幹麼
幽并	幽并
几个	幾個
几周后	幾周後
几天后	幾天後
几进几出	幾進幾出
几只	幾隻
几出	幾齣
广部	广部
庄內	庄內
庄内地方	庄內地方
庄司	庄司
床席	床蓆
店里	店裡
府干卿	府干卿
府干扰	府干擾
府干擾	府干擾
府干政	府干政
府干涉	府干涉
府干犯	府干犯
府干預	府干預
府干预	府干預
府干	府幹
座钟	座鐘
廍子里	廍子里
廓子里	廓子里
厨余	廚餘
厮斗	廝鬥
庙里	廟裡
废后	廢后
廢后	廢后
广征	廣徵
广舍	廣捨
广播里	廣播裡
延历	延曆
建筑前	建築前
建筑后	建築後
弄干	弄乾
弄丑	弄醜
弄脏胸	弄髒胸
弄松	弄鬆
弄鬼吊猴	弄鬼弔猴
吊卷	弔卷
吊取	弔取
吊古	弔古
吊唁	弔唁
吊问	弔問
吊喉	弔喉
吊丧	弔喪
吊喭	弔喭
吊奠	弔奠
吊孝	弔孝
吊客	弔客
吊宴	弔宴
吊影	弔影
吊恤	弔恤
吊慰	弔慰
吊扣	弔扣
吊拷	弔拷
吊撒	弔撒
吊文	弔文
吊旗	弔旗
吊民	弔民
吊祭	弔祭
吊纸	弔紙
吊者大悦	弔者大悅
吊腰撒跨	弔腰撒跨
吊脚儿事	弔腳兒事
吊膀子	弔膀子
吊词	弔詞
吊诡	弔詭
吊谎	弔謊
吊贺迎送	弔賀迎送
吊头	弔頭
吊鹤	弔鶴
引发	引發
引斗	引鬥
弘历	弘曆
弘历史	弘歷史
弱水三千只取一瓢	弱水三千只取一瓢
张三丰	張三丰
張三丰	張三丰
张勋	張勳
张杰	張杰
張杰	張杰
张柏芝	張栢芝
张乐于张徐	張樂于張徐
張樂于張徐	張樂于張徐
強制	強制
强制	強制
强制作用	強制作用
强奸	強姦
强干	強幹
别扭	彆扭
别拗	彆拗
别气	彆氣
弹子台	彈子檯
弹珠台	彈珠檯
汇刊	彙刊
汇算	彙算
汇纂	彙纂
汇辑	彙輯
形单影只	形單影隻
彭于晏	彭于晏
影后	影后
影相吊	影相弔
往复式	往復式
往日无仇	往日無讎
往里	往裡
待复	待覆
很干	很乾
很凶	很兇
很准	很準
很丑	很醜
很松	很鬆
律历志	律曆志
后印	後印
后台老板	後台老板
后天	後天
後庄	後庄
后面店	後面店
徐干	徐幹
徒杠	徒杠
徒托空言	徒託空言
得到回复	得到回覆
得力干将	得力幹將
从仆	從僕
从图里	從圖裡
从山里	從山裡
从里到外	從裡到外
从里向外	從裡向外
御岳山	御嶽山
御制	御製
复始	復始
复活节历表	復活節曆表
复苏	復甦
征令	徵令
征信	徵信
征候	徵候
征兆	徵兆
征兵	徵兵
征到	徵到
征募	徵募
征友	徵友
征召	徵召
征名责实	徵名責實
征吏	徵吏
征咎	徵咎
征启	徵啟
征地	徵地
征士	徵士
征婚	徵婚
征实	徵實
征庸	徵庸
征引	徵引
征得	徵得
征怪	徵怪
征才	徵才
征招	徵招
征收	徵收
征效	徵效
征文	徵文
征求	徵求
征状	徵狀
征用	徵用
征发	徵發
征税	徵稅
征稿	徵稿
征答	徵答
征结	徵結
征圣	徵聖
征聘	徵聘
征训	徵訓
征询	徵詢
征调	徵調
征象	徵象
征购	徵購
征迹	徵跡
征车	徵車
征辟	徵辟
征逐	徵逐
征选	徵選
征集	徵集
征风召雨	徵風召雨
征验	徵驗
心细如发	心細如髮
心系一	心繫一
心系世	心繫世
心系中	心繫中
心系五	心繫五
心系京	心繫京
心系人	心繫人
心系他	心繫他
心系伊	心繫伊
心系何	心繫何
心系你	心繫你
心系健	心繫健
心系传	心繫傳
心系全	心繫全
心系两	心繫兩
心系农	心繫农
心繫农	心繫农
心系功	心繫功
心系动	心繫動
心系募	心繫募
心系北	心繫北
心系十	心繫十
心系千	心繫千
心系南	心繫南
心系台	心繫台
心系和	心繫和
心系哪	心繫哪
心系唐	心繫唐
心系乔	心繫喬
心系嘱	心繫囑
心系四	心繫四
心系困	心繫困
心系国	心繫國
心系在	心繫在
心系地	心繫地
心系大	心繫大
心系天	心繫天
心系夫	心繫夫
心系奥	心繫奧
心系女	心繫女
心系她	心繫她
心系妻	心繫妻
心系妇	心繫婦
心系子	心繫子
心系它	心繫它
心系宣	心繫宣
心系家	心繫家
心系富	心繫富
心系小	心繫小
心系山	心繫山
心系川	心繫川
心系幼	心繫幼
心系广	心繫廣
心系彼	心繫彼
心系德	心繫德
心系您	心繫您
心系慈	心繫慈
心系我	心繫我
心系摩	心繫摩
心系故	心繫故
心系新	心繫新
心系日	心繫日
心系昌	心繫昌
心系晓	心繫曉
心系曼	心繫曼
心系东	心繫東
心系林	心繫林
心系母	心繫母
心系民	心繫民
心系江	心繫江
心系汶	心繫汶
心系沈	心繫沈
心系沙	心繫沙
心系泰	心繫泰
心系浙	心繫浙
心系港	心繫港
心系湖	心繫湖
心系澳	心繫澳
心系灾	心繫災
心系父	心繫父
心系生	心繫生
心系病	心繫病
心系百	心繫百
心系的	心繫的
心系众	心繫眾
心系社	心繫社
心系祖	心繫祖
心系神	心繫神
心系红	心繫紅
心系美	心繫美
心系群	心繫群
心系老	心繫老
心系舞	心繫舞
心系英	心繫英
心系茶	心繫茶
心系万	心繫萬
心系兰	心繫蘭
心系西	心繫西
心系贫	心繫貧
心系输	心繫輸
心系近	心繫近
心系远	心繫遠
心系选	心繫選
心系重	心繫重
心系长	心繫長
心系阮	心繫阮
心系震	心繫震
心系非	心繫非
心系风	心繫風
心系香	心繫香
心系高	心繫高
心系麦	心繫麥
心系黄	心繫黃
心脏	心臟
心脏痳痹	心臟痲痺
心荡	心蕩
心里面	心裏面
心里	心裡
心长发短	心長髮短
心余	心餘
必须	必須
忙里	忙裡
忙里偷闲	忙裡偷閒
忠人之托	忠人之托
忠仆	忠僕
快快当当	快快當當
快冲	快衝
怎么干	怎麼幹
怒气冲天	怒氣衝天
怒火冲天	怒火衝天
怒发冲冠	怒髮衝冠
怜奈	怜奈
思如泉涌	思如泉湧
急冲而下	急衝而下
性别扭曲	性別扭曲
性征	性徵
性欲	性慾
怨气冲天	怨氣衝天
怪里怪气	怪裡怪氣
怫郁	怫鬱
恂栗	恂慄
恒基	恒基
恒生	恒生
恒隆	恒隆
恕乏价催	恕乏价催
恢复	恢復
息交绝游	息交絕遊
息谷	息穀
悒郁	悒鬱
悠悠荡荡	悠悠蕩蕩
悠荡	悠蕩
悠游	悠遊
悲凄	悲悽
悲筑	悲筑
悲郁	悲鬱
悸栗	悸慄
凄厉	悽厲
凄怨	悽怨
凄惋	悽惋
凄惶	悽惶
凄恻	悽惻
凄怆	悽愴
凄惨	悽慘
凄戾	悽戾
凄然	悽然
凄美	悽美
凄苦	悽苦
凄酸	悽酸
情欲	情慾
惇朴	惇樸
惠文后	惠文后
恶仆	惡僕
恶直丑正	惡直醜正
恶斗	惡鬥
惴栗	惴慄
意大利面临	意大利面臨
意大利面臨	意大利面臨
愛河里花子	愛河里花子
爱河里花子	愛河里花子
爱困	愛睏
愿朴	愿樸
愿樸	愿樸
愿而恭	愿而恭
栗冽	慄冽
栗栗	慄慄
慈溪	慈谿
慌里慌张	慌裡慌張
惨淡	慘澹
庆吊	慶弔
庆历	慶曆
庆历史	慶歷史
欲令智昏	慾令智昏
欲壑难填	慾壑難填
欲念	慾念
欲海	慾海
欲火	慾火
欲障	慾障
忧郁	憂鬱
凭几	憑几
憑几	憑几
凭吊	憑弔
凭折	憑摺
凭准	憑準
凭借	憑藉
凭闲	憑閑
宪法里	憲法裡
恳托	懇託
懈松	懈鬆
应制得	應制得
應制得	應制得
应征	應徵
应钟	應鐘
懔栗	懍慄
懞懞懂懂	懞懞懂懂
懞直	懞直
惩忿窒欲	懲忿窒欲
怀里	懷裡
怀表	懷錶
怀钟	懷鐘
悬挂	懸掛
悬钟	懸鐘
懿范	懿範
恋恋不舍	戀戀不捨
成于思	成於思
戬谷	戩穀
战天斗地	戰天鬥地
战栗	戰慄
战斗	戰鬥
戏里	戲裡
戲院里	戲院里
戴表元	戴表元
戴发含齿	戴髮含齒
房里	房裡
所云	所云
所云云	所云云
所占卜	所占卜
所占星	所占星
所占算	所占算
所有只	所有只
所托	所託
扁拟谷盗虫	扁擬穀盜蟲
手冢治虫	手塚治虫
手塚治虫	手塚治虫
手折	手摺
手机里	手機裡
手表态	手表態
手表態	手表態
手表明	手表明
手表决	手表決
手表決	手表決
手表演	手表演
手表现	手表現
手表現	手表現
手表示	手表示
手表达	手表達
手表達	手表達
手表露	手表露
手表面	手表面
手里剑	手裏劍
手里	手裡
手游	手遊
手表	手錶
手链	手鍊
手松	手鬆
才干休	才干休
才干戈	才干戈
才干扰	才干擾
才干政	才干政
才干涉	才干涉
才干预	才干預
才干	才幹
扎好底子	扎好底子
扎好根	扎好根
扑作教刑	扑作教刑
扑打	扑打
扑挞	扑撻
扑撻	扑撻
打干哕	打乾噦
